OutdoorTemperature,Humidity,Direction,AC_Energy_kWh,AC_Time_hours,AC_Fan_Energy_kWh,AC_Fan_Time_hours,PredictedTemperature
25,10,north,-1.1228126998716212,-0.9624108856042468,-0.9958279302432832,-0.8020090713368724,26.447763
25,10,south,-1.0832909902307228,-0.9285351344834767,-0.960775937764153,-0.7737792787362306,26.238409
25,10,east,-1.1030518450511722,-0.9454730100438618,-0.9783019340037183,-0.7878941750365517,26.343086
25,10,west,-1.0931708775399611,-0.9370036093199667,-0.9695384568657989,-0.7808363410999722,26.290745
25,11,north,-1.1130048260272267,-0.9540041365947658,-0.9871292802265285,-0.7950034471623049,26.39581
25,11,south,-1.0734827563190041,-0.9201280768448606,-0.9520769684019741,-0.7667733973707174,26.186453
25,11,east,-1.093244691341426,-0.9370668782926508,-0.9696039226778124,-0.7808890652438757,26.291136
25,11,west,-1.083363723830215,-0.9285974775687558,-0.9608404455398931,-0.7738312313072965,26.238794
25,12,north,-1.1031973122501564,-0.9455976962144198,-0.9784309495551984,-0.7879980801786832,26.343857
25,12,south,-1.0636748824746094,-0.9117213278353795,-0.9433783183852192,-0.7597677731961497,26.134499
25,12,east,-1.0834357372950587,-0.9286592033957647,-0.9609043146247845,-0.7738826694964708,26.239176
25,12,west,-1.0735565701204688,-0.9201913458175447,-0.9521424342139874,-0.7668261215146207,26.186844
25,13,north,-1.093389798473086,-0.9371912558340737,-0.9697326188838683,-0.7809927131950617,26.291904
25,13,south,-1.0538677287648635,-0.9033151960841687,-0.9346803070593134,-0.7527626634034739,26.082548
25,13,east,-1.073628943652637,-0.9202533802736887,-0.952206622644303,-0.7668778168947407,26.187227
25,13,west,-1.06374833620875,-0.9117842881789286,-0.9434434648518081,-0.7598202401491072,26.134888
25,14,north,-1.0835822846960157,-0.9287848154537278,-0.9610342882125379,-0.7739873462114399,26.239952
25,14,south,-1.0440591347858204,-0.8949078298164175,-0.92598101835171,-0.7457565248470147,26.03059
25,14,east,-1.0638203496735938,-0.9118460140059376,-0.9435073339366996,-0.7598716783382816,26.13527
25,14,west,-1.0539401022970314,-0.9033772305403127,-0.9347444954896291,-0.7528143587835939,26.082932
25,15,north,-1.0737744108516212,-0.9203780664442468,-0.9523356381957834,-0.7669817220368725,26.187998
25,15,south,-1.0342523411433986,-0.8865020066943418,-0.9172833263712284,-0.7387516722452847,25.978642
25,15,east,-1.0540128358965235,-0.9034395736255917,-0.9348090032653693,-0.7528663113546598,26.083317
25,15,west,-1.0441322284526369,-0.8949704815308317,-0.9260458454728745,-0.7458087346090264,26.030977
25,16,north,-1.0639665370072267,-0.9119713174347658,-0.9436369881790284,-0.7599760978623048,26.136044
25,16,south,-1.02444410723168,-0.8780949490557256,-0.9085843570090495,-0.7317457908797714,25.926685
25,16,east,-1.044204962052129,-0.8950328246161107,-0.9261103532486148,-0.7458606871800925,26.031363
25,16,west,-1.0343243546082423,-0.8865637325213507,-0.9173471954561199,-0.7388031104344589,25.979023
25,17,north,-1.0541586631628321,-0.9035645684252848,-0.9349383381622738,-0.7529704736877373,26.08409
25,17,south,-1.0146365934546095,-0.8696885086753797,-0.8998860263377193,-0.7247404238961498,25.874733
25,17,east,-1.034397808342383,-0.8866266928648997,-0.9174123419227088,-0.7388555773874165,25.979412
25,17,west,-1.0245161206965236,-0.8781566748827345,-0.9086482260939407,-0.7317972290689455,25.927067
25,18,north,-1.044351149385762,-0.8951581280449388,-0.9262400074909436,-0.7459651067041156,26.032137
25,18,south,-1.004828719610215,-0.8612817596658987,-0.8911873763209645,-0.7177347997215822,25.822779
25,18,east,-1.0245899344979885,-0.8782199438554187,-0.908713691905954,-0.7318499532128488,25.927458
25,18,west,-1.0147082468521291,-0.8697499258732535,-0.899949576077186,-0.7247916048943779,25.875113
25,19,north,-1.036722042920215,-0.888618893931613,-0.9194737166375717,-0.7405157449430108,25.991724
25,19,south,-0.9950212058331447,-0.8528753192855526,-0.8824890456496344,-0.7107294327379606,25.770826
25,19,east,-1.0149275278525784,-0.8699378810164957,-0.9001440574406796,-0.7249482341804131,25.876274
25,19,west,-1.0049014532097071,-0.8613441027511776,-0.8912518840967047,-0.7177867522926481,25.823164
25,20,north,-1.0298116308338088,-0.8826956835718361,-0.9133448392514137,-0.7355797363098634,25.955118
25,20,south,-0.9858319276517579,-0.8449987951300783,-0.8743390310720949,-0.7041656626083986,25.722149
25,20,east,-1.0076044786126175,-0.8636609816679578,-0.8936492101980953,-0.7197174847232982,25.837482
25,20,west,-0.9967178430648634,-0.8543295797698829,-0.8839938012896706,-0.7119413164749026,25.779814
25,21,north,-1.0229015788147269,-0.8767727818411944,-0.9072162812106802,-0.7306439848676619,25.918514
25,21,south,-0.9785095985464455,-0.8387225130398104,-0.8678448225203594,-0.6989354275331754,25.683361
25,21,east,-1.0005478791925781,-0.8576124678793527,-0.8873906785696082,-0.7146770565661275,25.800102
25,21,west,-0.9893955139595509,-0.8480532976796151,-0.8774995927379351,-0.7067110813996793,25.741026
25,22,north,-1.0159908066609964,-0.8708492628522826,-0.9010870844790979,-0.7257077190435688,25.881907
25,22,south,-0.9712826872820509,-0.8325280176703294,-0.8614352405061048,-0.6937733480586079,25.645079
25,22,east,-0.9936363869041994,-0.851688331632171,-0.881260843147177,-0.7097402763601426,25.76349
25,22,west,-0.9824595370931252,-0.8421081746512502,-0.8713480418266408,-0.7017568122093751,25.704285
25,23,north,-1.0090793143726173,-0.8649251266051005,-0.8949572490566666,-0.7207709388375838,25.845295
25,23,south,-0.9643719151283204,-0.8266044986814175,-0.8553060437745224,-0.6888370822345147,25.60847
25,23,east,-0.9867263348851174,-0.8457654299015293,-0.8751322851064435,-0.7048045249179411,25.726887
25,23,west,-0.9755487649393947,-0.8361846556623382,-0.8652188450950584,-0.6968205463852819,25.667677
25,24,north,-1.002168542218887,-0.8590016076161888,-0.8888280523250843,-0.7158346730134907,25.808687
25,24,south,-0.957462583243887,-0.820682214209046,-0.849178124424638,-0.683901845174205,25.57187
25,24,east,-0.9798148425967383,-0.8398412936543471,-0.8690024496840121,-0.6998677447119561,25.690275
25,24,west,-0.9686379927856641,-0.8302611366734264,-0.8590896483634761,-0.6918842805611888,25.63107
25,25,north,-0.9952577700651565,-0.853078088627277,-0.8826988555935021,-0.7108984071893977,25.77208
